18:57:06.956 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: Operation=logStatusChange, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, StatusChange=APPLIED→ACCEPTED_BY_COMPANY, Purpose=status_tracking
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: DataCreated=status_history, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, DataAccessed=status,changedBy,reason, Purpose=audit_trail
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - Status change logged: Applied Opportunity ID=10, APPLIED -> ACCEPTED_BY_COMPANY, Changed by=company-firebase-uid, Reason=Transition 1
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: Operation=logStatusChange, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, StatusChange=ACCEPTED_BY_COMPANY→ACCEPTED_BY_INFLUENCER, Purpose=status_tracking
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: DataCreated=status_history, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, DataAccessed=status,changedBy,reason, Purpose=audit_trail
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - Status change logged: Applied Opportunity ID=10, ACCEPTED_BY_COMPANY -> ACCEPTED_BY_INFLUENCER, Changed by=company-firebase-uid, Reason=Transition 2
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: Operation=logStatusChange, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, StatusChange=ACCEPTED_BY_INFLUENCER→CONTENT_SEND_TO_ACCEPT, Purpose=status_tracking
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: DataCreated=status_history, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, DataAccessed=status,changedBy,reason, Purpose=audit_trail
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - Status change logged: Applied Opportunity ID=10, ACCEPTED_BY_INFLUENCER -> CONTENT_SEND_TO_ACCEPT, Changed by=company-firebase-uid, Reason=Transition 3
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: Operation=logStatusChange, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, StatusChange=CONTENT_SEND_TO_ACCEPT→CONTENT_APPROVED, Purpose=status_tracking
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: DataCreated=status_history, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, DataAccessed=status,changedBy,reason, Purpose=audit_trail
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - Status change logged: Applied Opportunity ID=10, CONTENT_SEND_TO_ACCEPT -> CONTENT_APPROVED, Changed by=company-firebase-uid, Reason=Transition 4
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: Operation=logStatusChange, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, StatusChange=CONTENT_APPROVED→CONTENT_POSTED, Purpose=status_tracking
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: DataCreated=status_history, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, DataAccessed=status,changedBy,reason, Purpose=audit_trail
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - Status change logged: Applied Opportunity ID=10, CONTENT_APPROVED -> CONTENT_POSTED, Changed by=company-firebase-uid, Reason=Transition 5
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: Operation=logStatusChange, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, StatusChange=CONTENT_POSTED→TO_BE_PAID, Purpose=status_tracking
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: DataCreated=status_history, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, DataAccessed=status,changedBy,reason, Purpose=audit_trail
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - Status change logged: Applied Opportunity ID=10, CONTENT_POSTED -> TO_BE_PAID, Changed by=company-firebase-uid, Reason=Transition 6
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: Operation=logStatusChange, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, StatusChange=TO_BE_PAID→DONE, Purpose=status_tracking
18:57:06.957 [main] &amp#27;[34mINFO &amp#27;[0;39m &amp#27;[36mc.s.i.p.a.AppliedOpportunityStatusHistoryService&amp#27;[0;39m - GDPR: DataCreated=status_history, FirebaseUID=company-firebase-uid, AppliedOpportunityID=10, DataAccessed=status,changedBy,reason, Purpose=audit_trail
